="Filtros Utilizados"
="Vínculo";="TODOS";="Unidade";="PREFEITURA MUNICIPAL DE ARCOS"
="Mês";="01/2025";="Apresentar Por";="CARGOS"
="Gestão de Pessoas / Cargo"
="Cargo";="Servidores";="Salário Base";="Vencimentos Totais";="Descontos";="Líquido"
="TÉCNICO DE ENFERMAGEM";="26";="R$ 51.982,48";="R$ 112.759,22";="R$ 30.119,15";="R$ 82.640,07"
="TECNICO DE RADIOLOGIA";="8";="R$ 24.576,13";="R$ 41.727,56";="R$ 17.166,77";="R$ 24.560,79"
="Tecnico em Informática";="2";="R$ 4.349,56";="R$ 7.465,88";="R$ 883,81";="R$ 6.582,07"
="Tecnico N. M. - T. S. Trabalho";="1";="R$ 2.676,92";="R$ 3.271,78";="R$ 246,75";="R$ 3.025,03"
="Telefonista";="4";="R$ 9.281,25";="R$ 12.187,10";="R$ 1.609,01";="R$ 10.578,09"
="TERAPEUTA OCUPACIONAL";="1";="R$ 0,00";="R$ 9.991,73";="R$ 1.780,37";="R$ 8.211,36"
="Vice-diretor";="14";="R$ 28.265,60";="R$ 27.220,76";="R$ 3.704,07";="R$ 23.516,69"
="Vice-Prefeito";="1";="R$ 6.029,63";="R$ 6.029,63";="R$ 1.236,10";="R$ 4.793,53"
="Totais";="";="R$ 4.931.973,31";="R$ 6.691.378,20";="R$ 2.053.996,11";="R$ 4.637.382,09"
="PRONIM TB - 29/05/2026 12:14:55 - Pessoal"
